Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,PARTNERSHIPS IN CHILDREN'S SERVICES LIMITED,08152989,gb,https://opencorporates.com/companies/gb/08152989
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,ITV DIGITAL HOLDINGS LIMITED,03261192,gb,https://opencorporates.com/companies/gb/03261192
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,GRANADA LIMITED,03962410,gb,https://opencorporates.com/companies/gb/03962410
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,GRANADA GROUP LIMITED,00290076,gb,https://opencorporates.com/companies/gb/00290076
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,GRANADA UK RENTAL AND RETAIL LIMITED,00250311,gb,https://opencorporates.com/companies/gb/00250311
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,MOTO HOSPITALITY LIMITED,00734299,gb,https://opencorporates.com/companies/gb/00734299
Labour Party,south-west,Jude Robinson,JUDE EDMUND ANTONIN ROBINSON,director,274 ST. PAULS ROAD RESIDENTS COMPANY LIMITED,02679985,gb,https://opencorporates.com/companies/gb/02679985
Labour Party,south-west,Jude Robinson,JUDE ROBINSON,director,DOTCODE LIMITED,03696137,gb,https://opencorporates.com/companies/gb/03696137
Labour Party,south-west,Jude Robinson,JUDE ROBINSON,director,TRANSCOURT DESIGNS LIMITED,03967484,gb,https://opencorporates.com/companies/gb/03967484
Labour Party,south-west,Hadleigh Vaughan Roberts,"","","","","",""
Labour Party,south-west,Ann Margaret Reeder,ANN MARGARET REEDER,director,COUNCILLOR DIRECT CIC,07021500,gb,https://opencorporates.com/companies/gb/07021500
Labour Party,south-west,Glyn Ford,ANDREW GLYN FORD,director,STUART JAMES CELEBRATIONS LTD,07727936,gb,https://opencorporates.com/companies/gb/07727936
Labour Party,south-west,Glyn Ford,ANDREW GLYN FORD,secretary,BEST (UK) LTD,06656488,gb,https://opencorporates.com/companies/gb/06656488
Labour Party,south-west,Glyn Ford,ANDREW GLYN FORD,director,BEST (UK) LTD,06656488,gb,https://opencorporates.com/companies/gb/06656488
Labour Party,south-west,Glyn Ford,GLYN FORD,director,ARENA PRINT SERVICES LIMITED,02846998,gb,https://opencorporates.com/companies/gb/02846998
Labour Party,south-west,Glyn Ford,GLYN JOHN FORD,director,JANUS PROPERTY LIMITED,05186935,gb,https://opencorporates.com/companies/gb/05186935
Labour Party,south-west,Glyn Ford,GLYN PATRICK FORD,director,BUSINESS CONNECT NEATH PORT TALBOT LIMITED,03181914,gb,https://opencorporates.com/companies/gb/03181914
Labour Party,south-west,Glyn Ford,GLYN VICTOR FORD-ROBBINS,secretary,PAGEANT THEATRE PRODUCTIONS LIMITED,03092898,gb,https://opencorporates.com/companies/gb/03092898
Labour Party,south-west,Glyn Ford,GLYN VICTOR FORD-ROBBINS,director,INTERPLAY (INFORMATION) LIMITED,02615366,gb,https://opencorporates.com/companies/gb/02615366
Labour Party,south-west,Glyn Ford,GLYN VICTOR FORD-ROBBINS,director,UVERDALE PUBLICATIONS LIMITED,02035098,gb,https://opencorporates.com/companies/gb/02035098
Labour Party,south-west,Glyn Ford,GLYN VICTOR FORD-ROBBINS,director,VARIETY & FAMILY PRODUCTIONS LIMITED,01746027,gb,https://opencorporates.com/companies/gb/01746027
Labour Party,south-west,Glyn Ford,GLYN VICTOR FORD-ROBBINS,director,SIXTIES NIGHT LIMITED,02013244,gb,https://opencorporates.com/companies/gb/02013244
Labour Party,south-west,Glyn Ford,GLYN VICTOR FORD-ROBBINS,director,BOOKPLEDGE LIMITED,02114060,gb,https://opencorporates.com/companies/gb/02114060
Labour Party,south-west,Glyn Ford,GLYN VICTOR FORD-ROBBINS,director,PAGEANT THEATRE COMPANY LIMITED,03025455,gb,https://opencorporates.com/companies/gb/03025455
